kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
12256520,K02264.01,Kepler-1166 b,1,0.999,0,0,0,0,33.2407985,143.46683,0.231,4.675,3.42E+02,1.51,486,13.17,20.4,1,q1_q17_dr25_tce,5382,4.571,0.827,290.34851,50.902851,14.477
3337432,K02265.01,,0,0,0,0,1,1,2.97600846,132.98121,0.715,4.274,1.03E+02,2.27,1892,3034.68,25.9,1,q1_q17_dr25_tce,6208,3.898,2.088,290.13821,38.491184,13.4
5629538,K02345.01,Kepler-1201 b,1,0.991,0,0,0,0,15.18727049,134.05495,0.839,4.509,2.93E+02,1.94,789,91.56,21.4,1,q1_q17_dr25_tce,6136,4.414,1.005,294.61481,40.833172,14.724
8561231,K02346.01,Kepler-1202 b,1,0.999,0,0,0,0,28.6853212,159.87094,0.922,6.307,6.89E+02,2.69,547,21.09,23.8,1,q1_q17_dr25_tce,5726,4.559,0.838,292.29062,44.653252,15.658
8235924,K02347.01,Kepler-1203 b,1,0.15,0,0,0,0,0.588001053,132.058754,0.403,1.1451,2.97E+02,0.99,1188,473.45,50.9,1,q1_q17_dr25_tce,3814,4.687,0.57,292.77338,44.178131,14.934
6941084,K02348.01,Kepler-1204 b,1,0.99,0,0,0,0,85.7357202,170.98121,0.033,7.625,7.48E+02,2.94,448,9.54,20.8,1,q1_q17_dr25_tce,6096,4.397,1.077,289.4415,42.498131,15.301
6200235,K02350.01,Kepler-1205 b,1,1,0,0,0,0,1.078389713,133.25041,0.846,1.3394,3.01E+02,1.98,1667,1817.38,23.6,1,q1_q17_dr25_tce,5325,4.384,0.985,290.27969,41.515049,15.143
11460462,K02110.01,Kepler-1104 b,1,0.998,0,0,0,0,5.03728033,134.1094,0.96,2.0619,7.63E+01,1.55,1321,720.22,20.9,1,q1_q17_dr25_tce,6387,4.271,1.381,294.46854,49.33102,12.189
8612275,K02111.01,Kepler-360 b,1,1,0,0,0,0,3.289726319,131.75522,0.052,2.3274,2.35E+02,1.37,1116,367.18,27,1,q1_q17_dr25_tce,5463,4.492,0.91,286.28473,44.781551,14.866
8612275,K02111.02,Kepler-360 c,1,1,0,0,0,0,7.18644594,136.62345,0.892,1.4972,4.02E+02,2.19,860,129.48,23.8,2,q1_q17_dr25_tce,5463,4.492,0.91,286.28473,44.781551,14.866
7207061,K02113.01,Kepler-417 c,1,1,0,0,0,0,15.94248453,146.33157,0.022,3.4894,1.09E+03,2.62,616,34.06,34.3,1,q1_q17_dr25_tce,5376,4.576,0.806,293.82431,42.779701,15.886
4545187,K00223.02,Kepler-121 c,1,1,0,0,0,0,41.0081117,147.03382,0.878,4.376,1.00E+03,2.64,425,7.72,43.9,2,q1_q17_dr25_tce,5303,4.63,0.708,286.16205,39.678001,14.708
7286911,K02180.01,Kepler-1133 b,1,0.99,0,0,0,0,11.55562042,138.19752,0.874,1.6758,4.42E+02,2.11,703,57.75,22.7,1,q1_q17_dr25_tce,5420,4.555,0.85,293.32242,42.86747,14.816
6962109,K02182.01,Kepler-1134 b,1,0.969,0,0,0,0,17.13263125,147.1546,0.298,3.0555,8.50E+02,2.31,611,32.91,26.4,1,q1_q17_dr25_tce,5477,4.578,0.794,295.56799,42.478298,15.842
5706595,K02183.01,Kepler-370 c,1,1,0,0,0,0,19.0231361,139.65988,0.698,3.431,4.02E+02,2.04,647,41.5,19.7,1,q1_q17_dr25_tce,5569,4.459,0.954,292.17114,40.916309,15.198
5706595,K02183.02,Kepler-370 b,1,1,0,0,0,0,4.57948235,135.09685,0.055,3.106,2.07E+02,1.35,1040,276.82,20,2,q1_q17_dr25_tce,5569,4.459,0.954,292.17114,40.916309,15.198
10489345,K02266.01,Kepler-1167 b,1,1,0,0,0,0,1.003931703,132.09988,0.023,1.4361,4.91E+02,1.6,1419,962.58,25.2,1,q1_q17_dr25_tce,4949,4.552,0.741,298.30273,47.694031,15.942
11774303,K02269.01,,0,0,0,1,1,0,0.614083885,132.46969,0.106,0.9817,3.90E+02,2.55,2603,10827.22,36.4,1,q1_q17_dr25_tce,6521,4.352,1.276,297.01965,49.997379,15.177
10329469,K02271.01,Kepler-1168 b,1,0.998,0,0,0,0,55.8224775,169.03741,0.031,5.457,8.80E+02,2.13,379,4.85,23.7,1,q1_q17_dr25_tce,5162,4.611,0.736,287.2977,47.455441,15.624
9717943,K02273.01,Kepler-1169 b,1,0.999,0,0,0,0,6.11010439,136.91214,0.284,2.314,5.97E+01,0.93,1125,378.84,11.8,1,q1_q17_dr25_tce,6213,4.387,1.195,294.91156,46.491459,12.716
8026752,K00240.01,Kepler-502 b,1,0.007,0,0,0,0,4.286866229,138.614882,0.757,4.4726,1.32E+03,4.14,1217,517.66,167.3,1,q1_q17_dr25_tce,6228,4.441,1.049,291.08014,43.860199,14.982
8013439,K02352.01,Kepler-381 c,1,1,0,0,0,0,13.39155154,133.05499,0.539,3.391,4.89E+01,1.58,1180,459.23,24.5,2,q1_q17_dr25_tce,6197,3.837,2.188,285.1828,43.831078,10.421
8013439,K02352.02,Kepler-381 b,1,1,0,0,0,0,5.62904396,134.74679,0.237,3.7295,3.95E+01,1.39,1576,1459.41,32.2,1,q1_q17_dr25_tce,6197,3.837,2.188,285.1828,43.831078,10.421
7207061,K02113.02,Kepler-417 b,1,1,0,0,0,0,12.33087921,361.9744,0.011,3.0664,8.72E+02,2.34,671,47.99,28.3,2,q1_q17_dr25_tce,5376,4.576,0.806,293.82431,42.779701,15.886
6921944,K02114.01,Kepler-1105 b,1,1,0,0,0,0,4.421566535,132.18465,0.869,2.1229,6.84E+02,2.19,729,66.94,31.9,1,q1_q17_dr25_tce,4299,4.604,0.697,281.11176,42.45491,15.18
9532052,K02115.01,Kepler-67 b,1,0.999,0,0,0,0,15.72585941,133.98774,0.122,3.8284,1.31E+03,2.69,602,31.13,32.7,1,q1_q17_dr25_tce,5332,4.597,0.755,294.15332,46.166439,16.144
8164012,K02116.01,Kepler-1106 b,1,1,0,0,0,0,1.252753881,133.17054,0.4,2.1472,2.00E+02,2.44,2199,5545.35,40.5,1,q1_q17_dr25_tce,5907,4.041,1.705,291.1452,44.062538,14.69
8611781,K02185.01,Kepler-1135 b,1,0.978,0,0,0,0,76.957056,192.33682,0.638,9.551,3.67E+02,2.09,451,9.81,26.5,1,q1_q17_dr25_tce,5878,4.363,1.041,286.00296,44.756592,14.353
7960980,K02274.01,Kepler-1170 b,1,0.999,0,0,0,0,9.98970266,133.76102,0.005,3.7,9.88E+02,2.48,705,58.26,24.1,1,q1_q17_dr25_tce,5265,4.58,0.81,292.16858,43.779671,15.909
8107225,K00235.01,Kepler-499 b,1,1,0,0,0,0,5.63252508,133.81818,0.455,2.1448,6.34E+02,2.04,844,119.75,70.9,1,q1_q17_dr25_tce,5216,4.58,0.804,295.10995,43.915211,14.353
3458028,K02276.01,Kepler-1171 b,1,1,0,0,0,0,1.442592305,134.07188,0.207,2.9698,1.66E+02,2.67,2700,12557.23,27.1,1,q1_q17_dr25_tce,7216,3.983,2.043,294.95892,38.591572,11.558
